CUENTA;BILLING;NRO_FACTURA;SCH_START_DATE;SCH_END_DATE;BILL_NUMBER;ID_CONCEPTO;DESCRIPCION_CONCEPTO;CANTIDAD;MONTO_NETO;MONTO_IMPUESTOS;MONTO_TOTAL
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"";"ENARD";"Cargo 1% financ ENARD Ley 26.573/09";"0";"0";"0";"159,63";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"";"IMINT";"Impuesto Interno 4.17%";"0";"0";"0";"465,27";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"GPAC1";"Paquete Basico GSM";"31";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"P163A";"Servicio Factura Digital";"31";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"PIL6A";"Pack Internet Movil";"31";"100";"21";"121";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"RPN2A";"Claro Red Privada Virtual";"31";"12";"2,52";"14,52";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"SC025";"Mensajes Persona a Persona";"18";"9";"1,89";"10,89";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"CCL07";"CCL07";"0";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"BRP6V";"Bonificación RPV 100% siempre";"12";"-12";"-2,52";"-14,52";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"CADM";"Cargos Administrativos";"31";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"50021";"Minutos Libres Utilizados";"2,1";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"50019";"Minutos Libres Utilizados";"8,96";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"50006";"Estab. Llamadas Minutos Libres Utilizados";"1";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"50004";"Estab. Llamadas Minutos Libres Utilizados";"3";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"05481";"Minutos Libres Utilizados";"29,16";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"05480";"Minutos Libres Utilizados";"5,49";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"05476";"Minutos Libres Utilizados";"112,14";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"05475";"Minutos Libres Utilizados";"39,45";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"05442";"Estab. Llamadas Minutos Libres Utilizados";"7,5";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"05441";"Estab. Llamadas Minutos Libres Utilizados";"3";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"05437";"Estab. Llamadas Minutos Libres Utilizados";"44,5";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"05436";"Estab. Llamadas Minutos Libres Utilizados";"16";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062349";"00046";"Abono Adelantado";"31";"90";"18,9";"108,9";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062625";"RPN2A";"Claro Red Privada Virtual";"31";"12";"2,52";"14,52";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062625";"05437";"Estab. Llamadas Minutos Libres Utilizados";"1";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062625";"05436";"Estab. Llamadas Minutos Libres Utilizados";",5";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062625";"PIL6A";"Pack Internet Movil";"31";"100";"21";"121";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062625";"P163A";"Servicio Factura Digital";"31";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062625";"GPAC1";"Paquete Basico GSM";"31";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062625";"CCL07";"CCL07";"0";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062625";"CADM";"Cargos Administrativos";"31";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062625";"BRP6V";"Bonificación RPV 100% siempre";"12";"-12";"-2,52";"-14,52";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874062625";"00046";"Abono Adelantado";"31";"90";"18,9";"108,9";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874063441";"50019";"Minutos Libres Utilizados";"6,62";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874063441";"05475";"Minutos Libres Utilizados";"2,8";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874063441";"CADM";"Cargos Administrativos";"31";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874063441";"RPN2A";"Claro Red Privada Virtual";"31";"12";"2,52";"14,52";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874063441";"05476";"Minutos Libres Utilizados";"22,01";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874063441";"05437";"Estab. Llamadas Minutos Libres Utilizados";"7";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874063441";"00046";"Abono Adelantado";"31";"90";"18,9";"108,9";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874063441";"05436";"Estab. Llamadas Minutos Libres Utilizados";"1,5";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874063441";"GPAC1";"Paquete Basico GSM";"31";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874063441";"CCL07";"CCL07";"0";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874063441";"50004";"Estab. Llamadas Minutos Libres Utilizados";"4";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874063441";"SC025";"Mensajes Persona a Persona";"9";"4,5";",95";"5,45";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874063441";"P163A";"Servicio Factura Digital";"31";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874063441";"PIL6A";"Pack Internet Movil";"31";"100";"21";"121";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874063441";"BRP6V";"Bonificación RPV 100% siempre";"12";"-12";"-2,52";"-14,52";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874623110";"GPAC1";"Paquete Basico GSM";"31";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874623110";"P163A";"Servicio Factura Digital";"31";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874623110";"RPN2A";"Claro Red Privada Virtual";"31";"12";"2,52";"14,52";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874623110";"CADM";"Cargos Administrativos";"31";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874623110";"BAM03";"BAM03";"0";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874623110";"BRP5V";"Bonificación RPV 100% 12meses";"12";"-12";"-2,52";"-14,52";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874623110";"AI046";"Abono Adelantado";"31";"240";"50,4";"290,4";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874693414";"50004";"Estab. Llamadas Minutos Libres Utilizados";"1,5";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874693414";"50019";"Minutos Libres Utilizados";"4,01";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874693414";"BBAGA";"Servicio BIS Blackberry AG Corpo/CO";"31";"120";"25,2";"145,2";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874693414";"BBPFA";"Bonificación Streaming Pack BB Corpo CO";"33";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874693414";"BRP5V";"Bonificación RPV 100% 12meses";"12";"-12";"-2,52";"-14,52";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874693414";"CADM";"Cargos Administrativos";"31";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874693414";"CCL07";"CCL07";"0";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874693414";"GPAC1";"Paquete Basico GSM";"31";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874693414";"P163A";"Servicio Factura Digital";"31";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874693414";"00046";"Abono Adelantado";"31";"90";"18,9";"108,9";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874693414";"05436";"Estab. Llamadas Minutos Libres Utilizados";"2";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874693414";"05437";"Estab. Llamadas Minutos Libres Utilizados";"13,5";"0";"0";"0";
"680714292";"27617";"44279671";"27/12/2015";"26/01/2016";"3874693414";"RPN2A";"Claro Red Privada Virtual";"31";"12";"2,52";"14,52";
